what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1447411270706
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447411448886
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1447411455142
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447411503599
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411510143
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1447411510160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411511858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411567400
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411571704
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411793344
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1447411793361
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411795403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411797163
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411800002
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411805884
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411811548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411817515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1447411817519
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1447411817519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411819635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411820450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447411981204
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447412024273
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447412041722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1447412041727
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1447412041727
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447412043675
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447412044622
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447412045252
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447412046539
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447412143350
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447412144533
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447412146146
